country_id,country,last_update
1,Afghanistan,2/15/2006 4:44
2,Algeria,2/15/2006 4:44
3,American Samoa,2/15/2006 4:44
4,Angola,2/15/2006 4:44
5,Anguilla,2/15/2006 4:44
6,Argentina,2/15/2006 4:44
7,Armenia,2/15/2006 4:44
8,Australia,2/15/2006 4:44
9,Austria,2/15/2006 4:44
10,Azerbaijan,2/15/2006 4:44
11,Bahrain,2/15/2006 4:44
12,Bangladesh,2/15/2006 4:44
13,Belarus,2/15/2006 4:44
14,Bolivia,2/15/2006 4:44
15,Brazil,2/15/2006 4:44
16,Brunei,2/15/2006 4:44
17,Bulgaria,2/15/2006 4:44
18,Cambodia,2/15/2006 4:44
19,Cameroon,2/15/2006 4:44
20,Canada,2/15/2006 4:44
21,Chad,2/15/2006 4:44
22,Chile,2/15/2006 4:44
23,China,2/15/2006 4:44
24,Colombia,2/15/2006 4:44
25,"Congo, The Democratic Republic of the",2/15/2006 4:44
26,Czech Republic,2/15/2006 4:44
27,Dominican Republic,2/15/2006 4:44
28,Ecuador,2/15/2006 4:44
29,Egypt,2/15/2006 4:44
30,Estonia,2/15/2006 4:44
31,Ethiopia,2/15/2006 4:44
32,Faroe Islands,2/15/2006 4:44
33,Finland,2/15/2006 4:44
34,France,2/15/2006 4:44
35,French Guiana,2/15/2006 4:44
36,French Polynesia,2/15/2006 4:44
37,Gambia,2/15/2006 4:44
38,Germany,2/15/2006 4:44
39,Greece,2/15/2006 4:44
40,Greenland,2/15/2006 4:44
41,Holy See (Vatican City State),2/15/2006 4:44
42,Hong Kong,2/15/2006 4:44
43,Hungary,2/15/2006 4:44
44,India,2/15/2006 4:44
45,Indonesia,2/15/2006 4:44
46,Iran,2/15/2006 4:44
47,Iraq,2/15/2006 4:44
48,Israel,2/15/2006 4:44
49,Italy,2/15/2006 4:44
50,Japan,2/15/2006 4:44
51,Kazakstan,2/15/2006 4:44
52,Kenya,2/15/2006 4:44
53,Kuwait,2/15/2006 4:44
54,Latvia,2/15/2006 4:44
55,Liechtenstein,2/15/2006 4:44
56,Lithuania,2/15/2006 4:44
57,Madagascar,2/15/2006 4:44
58,Malawi,2/15/2006 4:44
59,Malaysia,2/15/2006 4:44
60,Mexico,2/15/2006 4:44
61,Moldova,2/15/2006 4:44
62,Morocco,2/15/2006 4:44
63,Mozambique,2/15/2006 4:44
64,Myanmar,2/15/2006 4:44
65,Nauru,2/15/2006 4:44
66,Nepal,2/15/2006 4:44
67,Netherlands,2/15/2006 4:44
68,New Zealand,2/15/2006 4:44
69,Nigeria,2/15/2006 4:44
70,North Korea,2/15/2006 4:44
71,Oman,2/15/2006 4:44
72,Pakistan,2/15/2006 4:44
73,Paraguay,2/15/2006 4:44
74,Peru,2/15/2006 4:44
75,Philippines,2/15/2006 4:44
76,Poland,2/15/2006 4:44
77,Puerto Rico,2/15/2006 4:44
78,Romania,2/15/2006 4:44
79,Runion,2/15/2006 4:44
80,Russian Federation,2/15/2006 4:44
81,Saint Vincent and the Grenadines,2/15/2006 4:44
82,Saudi Arabia,2/15/2006 4:44
83,Senegal,2/15/2006 4:44
84,Slovakia,2/15/2006 4:44
85,South Africa,2/15/2006 4:44
86,South Korea,2/15/2006 4:44
87,Spain,2/15/2006 4:44
88,Sri Lanka,2/15/2006 4:44
89,Sudan,2/15/2006 4:44
90,Sweden,2/15/2006 4:44
91,Switzerland,2/15/2006 4:44
92,Taiwan,2/15/2006 4:44
93,Tanzania,2/15/2006 4:44
94,Thailand,2/15/2006 4:44
95,Tonga,2/15/2006 4:44
96,Tunisia,2/15/2006 4:44
97,Turkey,2/15/2006 4:44
98,Turkmenistan,2/15/2006 4:44
99,Tuvalu,2/15/2006 4:44
100,Ukraine,2/15/2006 4:44
101,United Arab Emirates,2/15/2006 4:44
102,United Kingdom,2/15/2006 4:44
103,United States,2/15/2006 4:44
104,Venezuela,2/15/2006 4:44
105,Vietnam,2/15/2006 4:44
106,"Virgin Islands, U.S.",2/15/2006 4:44
107,Yemen,2/15/2006 4:44
108,Yugoslavia,2/15/2006 4:44
109,Zambia,2/15/2006 4:44
