payment_id,customer_id,staff_id,rental_id,amount,payment_date,last_update
1,1,1,76,2.99,5/25/2005 11:30,2/15/2006 22:12
2,1,1,573,0.99,5/28/2005 10:35,2/15/2006 22:12
3,1,1,1185,5.99,6/15/2005 0:54,2/15/2006 22:12
4,1,2,1422,0.99,6/15/2005 18:02,2/15/2006 22:12
5,1,2,1476,9.99,6/15/2005 21:08,2/15/2006 22:12
6,1,1,1725,4.99,6/16/2005 15:18,2/15/2006 22:12
7,1,1,2308,4.99,6/18/2005 8:41,2/15/2006 22:12
8,1,2,2363,0.99,6/18/2005 13:33,2/15/2006 22:12
9,1,1,3284,3.99,6/21/2005 6:24,2/15/2006 22:12
10,1,2,4526,5.99,7/8/2005 3:17,2/15/2006 22:12
11,1,1,4611,5.99,7/8/2005 7:33,2/15/2006 22:12
12,1,1,5244,4.99,7/9/2005 13:24,2/15/2006 22:12
13,1,1,5326,4.99,7/9/2005 16:38,2/15/2006 22:12
14,1,1,6163,7.99,7/11/2005 10:13,2/15/2006 22:12
15,1,2,7273,2.99,7/27/2005 11:31,2/15/2006 22:12
16,1,1,7841,4.99,7/28/2005 9:04,2/15/2006 22:12
17,1,2,8033,4.99,7/28/2005 16:18,2/15/2006 22:12
18,1,1,8074,0.99,7/28/2005 17:33,2/15/2006 22:12
19,1,2,8116,0.99,7/28/2005 19:20,2/15/2006 22:12
20,1,2,8326,2.99,7/29/2005 3:58,2/15/2006 22:12
21,1,2,9571,2.99,7/31/2005 2:42,2/15/2006 22:12
22,1,2,10437,4.99,8/1/2005 8:51,2/15/2006 22:12
23,1,2,11299,3.99,8/2/2005 15:36,2/15/2006 22:12
24,1,1,11367,0.99,8/2/2005 18:01,2/15/2006 22:12
25,1,2,11824,4.99,8/17/2005 12:37,2/15/2006 22:12
26,1,1,12250,0.99,8/18/2005 3:57,2/15/2006 22:12
27,1,2,13068,0.99,8/19/2005 9:55,2/15/2006 22:12
28,1,2,13176,2.99,8/19/2005 13:56,2/15/2006 22:12
29,1,1,14762,0.99,8/21/2005 23:33,2/15/2006 22:12
30,1,1,14825,1.99,8/22/2005 1:27,2/15/2006 22:12
31,1,2,15298,2.99,8/22/2005 19:41,2/15/2006 22:12
32,1,1,15315,5.99,8/22/2005 20:03,2/15/2006 22:12
33,2,1,320,4.99,5/27/2005 0:09,2/15/2006 22:12
34,2,1,2128,2.99,6/17/2005 20:54,2/15/2006 22:12
35,2,1,5636,2.99,7/10/2005 6:31,2/15/2006 22:12
36,2,1,5755,6.99,7/10/2005 12:38,2/15/2006 22:12
37,2,2,7346,4.99,7/27/2005 14:30,2/15/2006 22:12
38,2,1,7376,5.99,7/27/2005 15:23,2/15/2006 22:12
39,2,2,7459,5.99,7/27/2005 18:40,2/15/2006 22:12
40,2,2,8230,5.99,7/29/2005 0:12,2/15/2006 22:12
41,2,1,8598,2.99,7/29/2005 12:56,2/15/2006 22:12
42,2,2,8705,5.99,7/29/2005 17:14,2/15/2006 22:12
43,2,1,9031,4.99,7/30/2005 6:06,2/15/2006 22:12
44,2,2,9236,10.99,7/30/2005 13:47,2/15/2006 22:12
45,2,2,9248,0.99,7/30/2005 14:14,2/15/2006 22:12
46,2,2,9296,6.99,7/30/2005 16:21,2/15/2006 22:12
47,2,2,9465,6.99,7/30/2005 22:39,2/15/2006 22:12
48,2,1,10136,2.99,7/31/2005 21:58,2/15/2006 22:12
49,2,1,10466,0.99,8/1/2005 9:45,2/15/2006 22:12
50,2,1,10918,0.99,8/2/2005 2:10,2/15/2006 22:12
51,2,1,11087,5.99,8/2/2005 7:41,2/15/2006 22:12
52,2,1,11177,6.99,8/2/2005 10:43,2/15/2006 22:12
53,2,2,11256,2.99,8/2/2005 13:44,2/15/2006 22:12
54,2,1,11614,2.99,8/17/2005 3:52,2/15/2006 22:12
55,2,1,12963,2.99,8/19/2005 6:26,2/15/2006 22:12
56,2,1,14475,4.99,8/21/2005 13:24,2/15/2006 22:12
57,2,2,14743,5.99,8/21/2005 22:41,2/15/2006 22:12
58,2,2,15145,4.99,8/22/2005 13:53,2/15/2006 22:12
59,2,2,15907,4.99,8/23/2005 17:39,2/15/2006 22:12
60,3,1,435,1.99,5/27/2005 17:17,2/15/2006 22:12
